record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
1364,10,8,1978,14,DS,F,50,121
1736,4,28,1979,22,DS,M,50,76
28719,10,24,1998,22,DM,F,36,48
18080,12,15,1990,24,RM,F,17,14
34899,10,6,2002,6,PB,M,26,31
13650,11,21,1987,6,DO,M,35,51
4908,10,24,1981,10,NA,NA,NA,NA
26726,7,30,1997,8,DM,M,36,44
25205,3,15,1997,1,DO,M,35,54
29192,2,20,1999,19,PB,F,25,31
20845,5,22,1993,12,OT,F,17,17
22347,6,8,1995,11,DM,F,36,45
19938,4,5,1992,9,DM,F,37,49
2272,1,15,1980,11,PF,F,16,10
2531,2,25,1980,2,OL,F,23,41
26083,6,10,1997,9,DM,M,36,49
4275,4,6,1981,13,DM,F,NA,34
11679,7,3,1986,19,PM,M,19,12
10775,9,21,1985,17,NL,F,33,168
26490,7,9,1997,19,PB,M,27,30
29926,10,10,1999,13,PB,M,26,48
31841,3,4,2001,8,PP,F,22,NA
26736,7,30,1997,4,DM,M,36,43
32613,9,22,2001,12,DO,M,36,58
34723,9,10,2002,9,PP,F,22,18
17821,9,22,1990,6,OL,M,NA,30
28260,7,19,1998,9,DO,F,33,40
13641,10,25,1987,3,RM,M,18,10
10979,11,16,1985,21,SS,NA,NA,NA
29818,6,13,1999,16,PP,M,21,16
29914,10,10,1999,11,DM,M,33,57
1564,1,28,1979,9,DM,F,36,43
16485,9,4,1989,8,DM,M,37,44
13691,11,21,1987,20,NL,F,33,135
7321,2,26,1983,12,DO,M,35,48
22254,4,29,1995,19,NA,NA,NA,NA
6605,9,19,1982,17,OT,F,19,25
12527,4,4,1987,22,DS,M,51,124
18862,7,13,1991,6,PP,F,20,19
20826,4,24,1993,8,DM,F,38,51
7943,6,17,1983,24,DO,F,35,42
15492,2,4,1989,20,RF,F,18,16
18157,12,16,1990,16,RM,F,17,12
2428,2,24,1980,8,DO,F,33,47
19807,3,7,1992,1,DO,M,37,53
9494,8,26,1984,5,OL,M,19,28
16008,5,9,1989,24,RM,M,19,12
34120,5,16,2002,9,PP,F,22,18
30134,12,6,1999,9,PP,M,21,13
26215,6,11,1997,15,PP,F,22,21
35541,12,31,2002,15,PB,F,24,31
4649,7,8,1981,15,NL,M,NA,158
12400,3,2,1987,9,DO,F,36,57
18587,4,20,1991,11,DO,F,NA,63
5144,12,31,1981,8,DS,M,53,140
18614,4,21,1991,8,DM,M,36,36
31681,12,23,2000,6,OT,M,20,21
31855,3,24,2001,1,DM,F,35,47
27028,10,25,1997,12,DM,M,34,43
8331,9,10,1983,20,DS,M,51,146
17547,5,24,1990,17,NL,M,32,104
12344,3,1,1987,12,OL,F,22,25
22191,4,1,1995,22,NA,NA,NA,NA
19126,10,10,1991,1,PP,F,20,14
5266,1,24,1982,18,NL,F,32,195
10596,7,24,1985,1,DS,F,NA,NA
2829,4,17,1980,8,DS,M,NA,135
8618,11,12,1983,22,DM,M,37,43
28565,9,20,1998,3,PB,M,26,27
2139,10,25,1979,16,NA,NA,NA,NA
32261,7,22,2001,3,PB,M,26,33
28484,9,19,1998,12,PP,M,22,13
6571,9,18,1982,6,SS,NA,NA,NA
13659,11,21,1987,6,AB,NA,NA,NA
32795,9,23,2001,15,OT,F,20,NA
26256,7,9,1997,9,PP,F,20,21
15328,1,10,1989,12,OL,F,20,29
34996,11,9,2002,17,DM,M,33,47
9280,5,28,1984,5,DM,F,32,25
10933,10,13,1985,5,OL,F,20,26
1437,11,4,1978,10,NA,NA,NA,NA
18430,2,17,1991,3,OT,F,20,24
28172,7,18,1998,20,PP,F,22,18
6895,10,24,1982,9,DM,M,37,43
33808,4,16,2002,13,OT,F,21,22
32212,6,25,2001,21,PB,F,26,26
317,10,17,1977,17,DO,F,32,48
12107,12,14,1986,6,DO,M,36,NA
23444,2,25,1996,9,DM,M,38,50
31797,3,3,2001,19,PB,M,27,27
35053,11,9,2002,21,PB,F,25,25
19291,11,14,1991,3,RM,M,16,8
17979,11,10,1990,21,RM,M,16,8
26412,7,9,1997,18,PP,M,21,13
21156,10,15,1993,20,PF,F,17,9
13670,11,21,1987,24,DM,F,36,35
30162,1,8,2000,1,DM,M,36,50
8903,2,5,1984,2,DM,F,37,36
1085,7,8,1978,18,DM,M,36,24
3441,11,8,1980,13,DM,M,39,48
19891,4,4,1992,7,AB,NA,NA,NA
15314,1,10,1989,6,AB,NA,NA,NA
13150,7,26,1987,11,CB,NA,NA,NA
26846,9,27,1997,20,PM,M,20,26
35049,11,9,2002,21,PB,F,27,35
7481,3,14,1983,19,PM,M,21,26
27011,10,25,1997,18,SH,M,22,43
1087,7,8,1978,3,NL,M,34,190
18878,7,13,1991,13,PE,F,20,17
6189,7,25,1982,6,DS,F,NA,103
22121,3,4,1995,1,PF,M,16,7
10052,3,16,1985,16,DM,M,36,44
27882,5,28,1998,22,DM,M,37,42
23956,5,24,1996,15,PF,M,16,9
30059,12,5,1999,1,PB,M,26,29
16081,5,11,1989,15,RM,F,17,10
18088,12,15,1990,21,RM,M,18,12
18227,1,11,1991,21,AH,NA,NA,NA
14996,10,9,1988,11,DM,M,37,48
3288,9,7,1980,9,DS,F,48,110
10009,2,17,1985,11,OT,M,20,19
4905,10,24,1981,22,OT,M,19,24
13331,8,26,1987,13,SS,NA,NA,NA
4683,7,8,1981,9,DS,F,47,93
33189,11,18,2001,8,DO,F,36,42
10357,4,21,1985,2,DO,M,34,52
23044,12,2,1995,2,DM,M,37,43
12296,2,1,1987,5,DO,M,35,59
26243,7,9,1997,16,PB,M,27,32
33133,11,18,2001,4,DO,M,34,39
985,6,8,1978,19,NA,NA,NA,NA
8571,11,12,1983,14,DS,M,50,105
30019,11,7,1999,11,DM,M,34,27
15589,2,5,1989,3,NL,M,33,197
26634,7,29,1997,20,PF,M,15,8
12458,3,2,1987,2,NL,M,33,259
32664,9,22,2001,21,PB,F,26,30
27343,12,28,1997,2,OT,F,20,26
6390,8,15,1982,18,PM,M,20,18
26493,7,9,1997,21,PB,M,28,35
1481,12,2,1978,9,OL,F,21,29
18881,7,13,1991,15,PE,M,21,18
29695,5,16,1999,5,DM,M,38,57
2030,9,22,1979,20,DM,M,36,50
1308,10,6,1978,1,DS,F,49,NA
